"","Antelope","Beaver","Camel","Cat","Chimpanzee"," Chipmunk","Cow","Deer","Dog","Elephant","Giraffe","Goat","Gorilla","Horse","Lion","Monkey","Rabbit","Rat","Sheep","Tiger","Zebra"
"Antelope",NA,0.229559748427673,0.614035087719298,0.132183908045977,0.221288515406162,0.141104294478528,0.511182108626198,0.842948717948718,0.20440251572327,0.479750778816199,0.570200573065903,0.566666666666667,0.246951219512195,0.621621621621622,0.460567823343849,0.224242424242424,0.197530864197531,0.0952380952380952,0.48936170212766,0.421538461538462,0.731012658227848
"Beaver",0.229559748427673,NA,0.153623188405797,0.37910447761194,0.278089887640449,0.626404494382023,0.15527950310559,0.274143302180685,0.385964912280702,0.0890804597701149,0.15,0.259358288770053,0.176151761517615,0.143646408839779,0.14404432132964,0.315942028985507,0.624641833810888,0.510869565217391,0.302941176470588,0.172205438066465,0.15028901734104
"Camel",0.614035087719298,0.153623188405797,NA,0.0865921787709497,0.199445983379501,0.0826666666666667,0.526315789473684,0.513196480938416,0.184573002754821,0.596923076923077,0.645244215938303,0.422287390029326,0.264462809917355,0.638356164383562,0.426086956521739,0.150684931506849,0.115819209039548,0.0828877005347594,0.364145658263305,0.378531073446328,0.566844919786096
"Cat",0.132183908045977,0.37910447761194,0.0865921787709497,NA,0.200527704485488,0.435754189944134,0.264367816091954,0.175074183976261,0.853025936599424,0.0876712328767123,0.0853994490358127,0.288770053475936,0.0991501416430595,0.214876033057851,0.589595375722543,0.243835616438356,0.637119113573407,0.542857142857143,0.322128851540616,0.605970149253731,0.15625
"Chimpanzee",0.221288515406162,0.278089887640449,0.199445983379501,0.200527704485488,NA,0.371014492753623,0.134897360703812,0.213068181818182,0.211267605633803,0.239316239316239,0.266666666666667,0.182584269662921,0.834224598930481,0.154269972451791,0.348314606741573,0.869444444444444,0.198910081743869,0.140921409214092,0.172872340425532,0.281167108753316,0.257703081232493
" Chipmunk",0.141104294478528,0.626404494382023,0.0826666666666667,0.435754189944134,0.371014492753623,NA,0.116343490304709,0.15527950310559,0.318965517241379,0.0890804597701149,0.111413043478261,0.232558139534884,0.272727272727273,0.103658536585366,0.0863095238095238,0.449404761904762,0.68452380952381,0.694050991501416,0.213675213675214,0.131498470948012,0.111111111111111
"Cow",0.511182108626198,0.15527950310559,0.526315789473684,0.264367816091954,0.134897360703812,0.116343490304709,NA,0.570552147239264,0.375739644970414,0.367816091954023,0.36231884057971,0.740740740740741,0.175287356321839,0.800595238095238,0.298461538461538,0.126470588235294,0.238372093023256,0.120343839541547,0.745562130177515,0.275071633237822,0.492753623188406
"Deer",0.842948717948718,0.274143302180685,0.513196480938416,0.175074183976261,0.213068181818182,0.15527950310559,0.570552147239264,NA,0.343283582089552,0.395498392282958,0.475,0.617737003058104,0.208333333333333,0.66969696969697,0.426282051282051,0.156804733727811,0.222222222222222,0.13782991202346,0.585585585585586,0.394984326018809,0.657060518731988
"Dog",0.20440251572327,0.385964912280702,0.184573002754821,0.853025936599424,0.211267605633803,0.318965517241379,0.375739644970414,0.343283582089552,NA,0.160377358490566,0.132432432432432,0.510028653295129,0.138964577656676,0.418461538461538,0.295522388059701,0.194842406876791,0.524926686217009,0.31700288184438,0.59504132231405,0.285714285714286,0.227011494252874
"Elephant",0.479750778816199,0.0890804597701149,0.596923076923077,0.0876712328767123,0.239316239316239,0.0890804597701149,0.367816091954023,0.395498392282958,0.160377358490566,NA,0.654390934844193,0.196531791907514,0.41340782122905,0.423312883435583,0.513931888544892,0.198847262247839,0.0755287009063444,0.0634005763688761,0.220708446866485,0.450793650793651,0.535928143712575
"Giraffe",0.570200573065903,0.15,0.645244215938303,0.0853994490358127,0.266666666666667,0.111413043478261,0.36231884057971,0.475,0.132432432432432,0.654390934844193,NA,0.249322493224932,0.308333333333333,0.409836065573771,0.415512465373961,0.251366120218579,0.122222222222222,0.0742705570291777,0.258152173913043,0.44,0.628808864265928
"Goat",0.566666666666667,0.259358288770053,0.422287390029326,0.288770053475936,0.182584269662921,0.232558139534884,0.740740740740741,0.617737003058104,0.510028653295129,0.196531791907514,0.249322493224932,NA,0.15702479338843,0.588888888888889,0.274096385542169,0.191666666666667,0.334231805929919,0.217270194986072,0.892537313432836,0.225146198830409,0.402985074626866
"Gorilla",0.246951219512195,0.176151761517615,0.264462809917355,0.0991501416430595,0.834224598930481,0.272727272727273,0.175287356321839,0.208333333333333,0.138964577656676,0.41340782122905,0.308333333333333,0.15702479338843,NA,0.190082644628099,0.449438202247191,0.790087463556851,0.109195402298851,0.106951871657754,0.145714285714286,0.453731343283582,0.301675977653631
"Horse",0.621621621621622,0.143646408839779,0.638356164383562,0.214876033057851,0.154269972451791,0.103658536585366,0.800595238095238,0.66969696969697,0.418461538461538,0.423312883435583,0.409836065573771,0.588888888888889,0.190082644628099,NA,0.351515151515152,0.141643059490085,0.180371352785146,0.12972972972973,0.568965517241379,0.38781163434903,0.766197183098592
"Lion",0.460567823343849,0.14404432132964,0.426086956521739,0.589595375722543,0.348314606741573,0.0863095238095238,0.298461538461538,0.426282051282051,0.295522388059701,0.513931888544892,0.415512465373961,0.274096385542169,0.449438202247191,0.351515151515152,NA,0.288753799392097,0.132564841498559,0.15,0.276967930029155,0.940828402366864,0.535714285714286
"Monkey",0.224242424242424,0.315942028985507,0.150684931506849,0.243835616438356,0.869444444444444,0.449404761904762,0.126470588235294,0.156804733727811,0.194842406876791,0.198847262247839,0.251366120218579,0.191666666666667,0.790087463556851,0.141643059490085,0.288753799392097,NA,0.258823529411765,0.18361581920904,0.227920227920228,0.269349845201238,0.185714285714286
"Rabbit",0.197530864197531,0.624641833810888,0.115819209039548,0.637119113573407,0.198910081743869,0.68452380952381,0.238372093023256,0.222222222222222,0.524926686217009,0.0755287009063444,0.122222222222222,0.334231805929919,0.109195402298851,0.180371352785146,0.132564841498559,0.258823529411765,NA,0.691011235955056,0.361643835616438,0.13091922005571,0.106145251396648
"Rat",0.0952380952380952,0.510869565217391,0.0828877005347594,0.542857142857143,0.140921409214092,0.694050991501416,0.120343839541547,0.13782991202346,0.31700288184438,0.0634005763688761,0.0742705570291777,0.217270194986072,0.106951871657754,0.12972972972973,0.15,0.18361581920904,0.691011235955056,NA,0.224043715846995,0.116531165311653,0.111436950146628
"Sheep",0.48936170212766,0.302941176470588,0.364145658263305,0.322128851540616,0.172872340425532,0.213675213675214,0.745562130177515,0.585585585585586,0.59504132231405,0.220708446866485,0.258152173913043,0.892537313432836,0.145714285714286,0.568965517241379,0.276967930029155,0.227920227920228,0.361643835616438,0.224043715846995,NA,0.238636363636364,0.408963585434174
"Tiger",0.421538461538462,0.172205438066465,0.378531073446328,0.605970149253731,0.281167108753316,0.131498470948012,0.275071633237822,0.394984326018809,0.285714285714286,0.450793650793651,0.44,0.225146198830409,0.453731343283582,0.38781163434903,0.940828402366864,0.269349845201238,0.13091922005571,0.116531165311653,0.238636363636364,NA,0.538235294117647
"Zebra",0.731012658227848,0.15028901734104,0.566844919786096,0.15625,0.257703081232493,0.111111111111111,0.492753623188406,0.657060518731988,0.227011494252874,0.535928143712575,0.628808864265928,0.402985074626866,0.301675977653631,0.766197183098592,0.535714285714286,0.185714285714286,0.106145251396648,0.111436950146628,0.408963585434174,0.538235294117647,NA
